,d (cm),r (m),r_eq,v_lim (cm/s),v_lim (m/s),d_rho,A,V,Re,cD
Sphere,0.9523,0.0047615,0.0047615,"2,869",28.69,"2,795",7.12E-05,4.52E-07,15030,0.423
,1.547,0.007735,0.007735,"2,394",23.94,"1,177",1.88E-04,1.94E-06,20370,0.416
Cylinder,1.27,0.00635,0.00551815,"2,880",28.8,"2,872",9.56E-05,7.03E-07,35320,0.500
,1.11,0.00555,0.00482295,"2,751",27.51,"2,800",7.30E-05,4.70E-07,29440,0.467
,0.795,0.003975,0.003454275,"2,349",23.49,"2,773",3.75E-05,1.73E-07,17950,0.454
,0.635,0.003175,0.002759075,"2,150",21.5,"2,772",2.39E-05,8.79E-08,13040,0.433
,1.875,0.009375,0.008146875,"2,711",27.11,"1,775",2.08E-04,2.26E-06,50400,0.515
,1.278,0.00639,0.00555291,"2,425",24.25,"1,805",9.68E-05,7.17E-07,31370,0.446
,1.102,0.00551,0.00478819,"2,304",23.04,"1,871",7.20E-05,4.60E-07,24370,0.441
,0.648,0.00324,0.00281556,"1,648",16.48,"1,749",2.49E-05,9.34E-08,9989,0.474
,2.52,0.0126,0.0109494,"2,560",25.6,"1,177",3.76E-04,5.50E-06,80470,0.514
,1.897,0.009485,0.008242465,"2,194",21.94,"1,176",2.13E-04,2.34E-06,40180,0.527
,1.257,0.006285,0.005461665,"1,914",19.14,"1,177",9.37E-05,6.82E-07,23690,0.459
